"Story","Title","Result","Date","Stability","Duration (s)"
"As a user I would like to verify to CRUD operation of the application","I create a new user on the application","SUCCESS","2022-06-21T11:48:21.748+01:00[Europe/London]","0.0","7.83"
"As a user I would like to verify to CRUD operation of the application","I read a newly created user from the application","SUCCESS","2022-06-21T11:48:31.612+01:00[Europe/London]","0.0","0.8"
"As a user I would like to verify to CRUD operation of the application","I update a newly created user on the application","SUCCESS","2022-06-21T11:48:32.445+01:00[Europe/London]","0.0","0.76"
"As a user I would like to verify to CRUD operation of the application","I delete a newly created user from the application","SUCCESS","2022-06-21T11:48:33.241+01:00[Europe/London]","0.0","1.47"
"As a user I would like to verify to CRUD operation of the application","I get all users from the application","ERROR","2022-06-21T11:48:34.745+01:00[Europe/London]","0.0","1.51"
